"","trophic_mode","domain","supergroup","division","subdivision","class","order","family","genus","species"
"1","photosynthetic","Eukaryota","Haptista","Haptophyta","Haptophyta_X","Prymnesiophyceae","Phaeocystales","Phaeocystaceae","Phaeocystis","Phaeocystis_pouchetii"
"2","photosynthetic","Eukaryota","Archaeplastida","Chlorophyta","Chlorophyta_X","Mamiellophyceae","Mamiellales","Mamiellaceae","Micromonas","Micromonas_polaris"
"3","photosynthetic","Eukaryota","TSAR","Stramenopiles","Gyrista","Bacillariophyceae","Bacillariales","Bacillariaceae","Fragilariopsis","Fragilariopsis_cylindrus"
"4","mixotrophic","Eukaryota","Cryptista","Cryptophyta","Cryptophyta_X","Cryptophyceae","Pyrenomonadales","Baffinellaceae","Baffinella","Baffinella_frigidus"
"5","photosynthetic","Eukaryota","TSAR","Stramenopiles","Gyrista","Bacillariophyceae","Bacillariales","Bacillariaceae","Pseudo-nitzschia","Pseudo-nitzschia_sp."
"6","photosynthetic","Eukaryota","TSAR","Stramenopiles","Gyrista","Mediophyceae","Chaetocerotales","Chaetocerotaceae","Chaetoceros","Chaetoceros_sp."
"7","photosynthetic","Eukaryota","TSAR","Stramenopiles","Gyrista","Bacillariophyceae","Bacillariales","Bacillariaceae","Bacillariaceae_X","Bacillariaceae_X_sp."
"8","photosynthetic","Eukaryota","TSAR","Stramenopiles","Gyrista","Mediophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","Thalassiosira_sp."
"9","photosynthetic","Eukaryota","TSAR","Stramenopiles","Gyrista","Bacillariophyceae","Bacillariophyceae_X","Bacillariophyceae_XX","Bacillariophyceae_XXX","Bacillariophyceae_XXX_sp."
"10","photosynthetic","Eukaryota","Cryptista","Cryptophyta","Cryptophyta_X","Cryptophyceae","Cryptomonadales","Cryptomonadales_X","Cryptomonadales_XX","Cryptomonadales_XX_sp."
"11","photosynthetic","Eukaryota","TSAR","Stramenopiles","Gyrista","Bacillariophyceae","Bacillariales","Bacillariaceae","Bacillaria","Bacillaria_sp."
"12","photosynthetic","Eukaryota","TSAR","Stramenopiles","Gyrista","Mediophyceae","Biddulphiales","Attheyaceae","Attheya","Attheya_sp."
"13","photosynthetic","Eukaryota","TSAR","Stramenopiles","Gyrista","Bacillariophyceae","Naviculales","Naviculales_X","Naviculales_XX","Naviculales_XX_sp."
"14","photosynthetic","Eukaryota","TSAR","Stramenopiles","Gyrista","Bacillariophyceae","Bacillariales","Bacillariaceae","Nitzschia","Nitzschia_sp."
"15","photosynthetic","Eukaryota","TSAR","Stramenopiles","Gyrista","Mediophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","Thalassiosira_nordenskioeldii"
"16","photosynthetic","Eukaryota","TSAR","Stramenopiles","Gyrista","Mediophyceae","Thalassiosirales","Thalassiosiraceae","Porosira","Porosira_sp."
"17","photosynthetic","Eukaryota","TSAR","Stramenopiles","Gyrista","Bacillariophyceae","Fragilariales","Fragilariaceae","Fragilaria","Fragilaria_sp."
"18","photosynthetic","Eukaryota","TSAR","Stramenopiles","Gyrista","Bacillariophyceae","Naviculales","Naviculaceae","Navicula","Navicula_sp."
"19","photosynthetic","Eukaryota","TSAR","Stramenopiles","Gyrista","Bolidophyceae","Parmales","Parmales_env_2","Parmales_env_2_X","Parmales_env_2_X_sp."
"20","photosynthetic","Eukaryota","TSAR","Stramenopiles","Gyrista","Mediophyceae","Thalassiosirales","Thalassiosiraceae","Thalassiosira","Thalassiosira_antarctica"
